title,category
Room on the Broom,None
Undertow,One Word
The Bridge Across Forever: A True Love Story,None
The Cat Who Walks Through Walls,None
Jackaroo,One Word
A Girl's Guide to Vampires,None
The Mabinogion,"""The"" One Word"
The Magic Toyshop,The Adj Noun
Olympos,One Word
Black Unicorn,None
Endgame,One Word
"Fruits Basket, Vol. 7",None
The Tin Princess,The Adj Noun
The Last Watch,The Adj Noun
Ransom My Heart,None
Magic Shifts,None
Traitor to the Throne,None
Muse of Nightmares,___ of ___
Fledgling,One Word
Playing with Fire,None
Shiver Trilogy Boxset,None
Discount Armageddon,None
The Golden Door,The Adj Noun
Key of Knowledge,___ of ___
A Bite to Remember,None
Chosen,One Word
Shift,One Word
Archangel's Storm,None
Beauty Awakened,None
The Elvenbane,"""The"" One Word"
The Aeronaut's Windlass,The Adj Noun
Cycle of the Werewolf,___ of ___
Darkness,One Word
Ten Thousand Skies Above You,None
Briar's Book,None
The Will of the Empress,___ of ___
Second Nature,None
The Little Book,The Adj Noun
Lavinia,One Word
Zoo City,None
So Silver Bright,None
Tuesday,One Word
Through a Glass Darkly,None
Firesong,One Word
Gideon the Cutpurse,None
The Bride Finder,The Adj Noun
Dragon of Legend: Destiny: Fantasy Dragon Adventure,___ of ___
Code of the Clans,___ of ___
Love You to Death / High Stakes,None
The Last Days,The Adj Noun
The Descent,"""The"" One Word"
The Fire Eternal,The Adj Noun
Hell's Heroes,None
Haunting Violet,None
Armageddon's Children,None
The Secret War,The Adj Noun
The Accidental Hero,The Adj Noun
The Mysterious Mr. Quin,None
Play of Passion,___ of ___
Shadow Study,None
Nine's Legacy,None
The Liar's Key,The Adj Noun
Sylvester and the Magic Pebble,___ and ___
Duncton Wood,None
The Immortal Hunter,The Adj Noun
Pirates of the Caribbean: The Price of Freedom,___ of ___
Tinker,One Word
The Akhenaten Adventure,The Adj Noun
Hunted,One Word
Blood Vow,None
Bitten by Cupid,None
The Castle of Llyr,___ of ___
The Thousandfold Thought,The Adj Noun
Tricked,One Word
Beauty and the Beast,___ and ___
The End of Infinity,___ of ___
MILA 2.0,None
Pegasus and the Rise of the Titans,___ of ___
Suffer the Children,None
Sarah,One Word
The Splendor Falls,The Adj Noun
Every Other Day,None
Six's Legacy,None
Light,One Word
Undead and Unemployed,___ and ___
If You Take a Mouse to the Movies,None
"Vampire Kisses: Blood Relatives, Vol. 1",None
The Bell at Sealey Head,None
The Last Vampire,The Adj Noun
"Fruits Basket, Vol. 10",None
The Carpet People,The Adj Noun
Night of the Living Dummy,___ of ___
The Bad Place,The Adj Noun
With Everything I Am,None
Demigods & Magicians: Percy and Annabeth Meet the Kanes,___ and ___
Greenwitch,One Word
Sharp Teeth,None
"The Book of Lost Tales, Part Two",___ of ___
Tales From the Hood,None
Key of Light,___ of ___
Kissing Sin,None
Havemercy,One Word
Nobody's Princess,None
Dark Matter,None
Toby Alone,None
The Shadowy Horses,The Adj Noun
Where's My Cow?,None
Wolfsbane,One Word
Glow,One Word
Biting Cold,None
Better than Life,None
Generation Dead,None
Dark Legend,None
Rise,One Word
The Girl at Midnight,None
The Curious Case of Benjamin Button,___ of ___
Be More Chill,None
Mirror Sight,None
Life Eternal,None
Green: The Beginning and the End,___ and ___
The Gate to Women's Country,None
The Cricket in Times Square,None
The Neutronium Alchemist 1: Consolidation,None
Cryptic Cravings,None
The Soulkeepers,"""The"" One Word"
How to Be a Pirate,None
Twice-Told Tales,None
Shadowland,One Word
Shattered Peace,None
Dreaming Anastasia,None
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,___ of ___
The Darkest Secret,The Adj Noun
Fearless Magic,None
Bruiser,One Word
Tempting Evil,None
Weight: The Myth of Atlas and Heracles,___ of ___
Song in the Silence,None
The Haunting of Alaizabel Cray,___ of ___
The Diary of Ellen Rimbauer: My Life at Rose Red,___ of ___
The Other Life,The Adj Noun
Beguilement,One Word
Ice Planet Barbarians,None
The Beast,"""The"" One Word"
Aurelia,One Word
Antrax,One Word
Eternity Embraced,None
Rogue Protocol,None
The Assassins of Tamurin,___ of ___
Shadow Game,None
The Serpent Gift,The Adj Noun
House of Dark Shadows,___ of ___
Naamah's Curse,None
Yoda: Dark Rendezvous,None
The Once and Future King,___ and ___
Red Lily,None
Romeo's Ex: Rosaline's Story,None
Last and First Men/Star Maker,___ and ___
Beyond the Dead Forest,None
The Catch Trap,The Adj Noun
La Morte Amoureuse,None
Darkness Unleashed,None
She Smells the Dead,None
When Fate Dictates,None
Ransom,One Word
Inside the Outside,None
Ico: Castle in the Mist,None
Dead And Beyond,___ and ___
Twisted,One Word
The Genesis,"""The"" One Word"
Riddle in Stone,None
"Vampires, Scones, and Edmund Herondale",___ and ___
Just One Damned Thing After Another,None
Metatron: The Angel Has Risen,None
Ice,One Word
The Room Beyond,The Adj Noun
The Titan's Curse: The Graphic Novel,None
Fall of Night,___ of ___
Possession of My Soul,___ of ___
Collide,One Word
The Last Hour of Gann,___ of ___
The Last Pages,The Adj Noun
The Fox and The Hound,___ and ___
"Alice 19th, Vol. 1",None
Werewolf Nights,None
To Enter The Path,None
A Carpet of Purple Flowers,___ of ___
The Reach Between Worlds,None
The Search for Alice,None
Maya of the Inbetween,___ of ___
On a Sunbeam,None
Wizards at War,None
Switch Bitch,None
The Supernaturalist,"""The"" One Word"
The Second Jungle Book,None
Maze of Existence,___ of ___
Flame of Destiny,___ of ___
Beast Behaving Badly,None
Loch,One Word
The Shamer's Signet,The Adj Noun
The Legend of Holly Claus,___ of ___
The Exemeus,"""The"" One Word"
The Leviathan Trilogy,The Adj Noun
The Garden,"""The"" One Word"
Love's Prophecy,None
Bentwhistle the Dragon in a Threat from the Past,None
Racing in the Rain: My Life as a Dog,None
The Culling,"""The"" One Word"
Ajaya: Roll of the Dice,___ of ___
Dead City,None
Sparks Rise,None
Inheritance,One Word
The Willows,"""The"" One Word"
The Game,"""The"" One Word"
Cara's Twelve,None
The Traitor Queen,The Adj Noun
Fatal Harmony,None
Outcaste,One Word
Dreams and Shadows,___ and ___
Eve of Man,___ of ___
The Mysterious Howling,The Adj Noun
Great North Road,None
God's Dice,None
The Story About Ping,None
The Place of the Lion,___ of ___
The Improbable Adventures of Sherlock Holmes,___ of ___
Wild Cards,None
Mona Lisa Awakening,None
Instructions,One Word
Zen and the Art of Vampires,___ of ___
Caged by Damnation,None
Shadowspell,One Word
Shade's Loss,None
Fly Trap,None
The Underworld,"""The"" One Word"
The Dreaming Void,The Adj Noun
Echo of an Earth Angel,___ of ___
Dirty Eden,None
Slice of Cherry,___ of ___
Enchanted,One Word
The Gathering Storm,The Adj Noun
Ral's Woman,None
"Fullmetal Alchemist (3-in-1 Edition), Vol. 1",None
Reamde,One Word
Ghost Hold,None
Viper's Creed,None
Villains by Necessity,None
A Week of Mondays,___ of ___
Fever Crumb,None
Friends for Life,None
"The Magician's Nephew / The Lion, The Witch and the Wardrobe / The Horse and His Boy",___ and ___
A Cry to War,None
Coldheart Canyon,None
The Night Club: Part One,None
Comes a Horseman,None
Chasing Amanda,None
The Little Country,The Adj Noun
Bloodfire Quest,None
Allan Quatermain,None
"The Sword of Truth, Boxed Set III: The Pillars of Creation, Naked Empire, Chainfire",___ of ___
The Sword of Truth Boxed Set II: Temple of the Winds; Soul of the Fire; Faith of the Fallen,___ of ___
The Elven,"""The"" One Word"
Legacy of the Drow,___ of ___
Vampire Academy Box Set,None
Rump: The True Story of Rumpelstiltskin,___ of ___
A Dance of Cloaks,___ of ___
Poltergeist,One Word
The Day Human Prince,None
The Islands at the End of the World,___ of ___
The Garden of Rama,___ of ___
The Next Together,The Adj Noun
Grey,One Word
Until the End of the World,___ of ___
Fortune's Pawn,None
Above The Flames,None
The Peripheral,"""The"" One Word"
A Skinful of Shadows,___ of ___
One Dark Throne,None
In Some Other Life,None
Submerging,One Word
Cage of Darkness,___ of ___
Cage of Destiny,___ of ___
Akata Witch,None
"Monstress, Vol. 1: Awakening",None
"Saga, Vol. 9",None
Snow-Walker,One Word
Last Call,None
Wolverine: Origin,None
The Tripods Boxed Set of 4,___ of ___
"Sleep, Pale Sister",None
The House of Power,___ of ___
Demon,One Word
Carrots,One Word
Songbird,One Word
The Darkangel Trilogy,The Adj Noun
Caine Black Knife,None
God Is Dead,None
The Bridge to Never Land,None
Peter and the Secret of Rundoon,___ of ___
The Vampire Tapestry,The Adj Noun
Eclipse: The Complete Illustrated Movie Companion,None
Conspiracy,One Word
Deadly Games,None
Dark Currents,None
Johnny the Homicidal Maniac: Director's Cut,None
Sign of the Moon,___ of ___
Caliban's War,None
Avenge,One Word
Tribesman,One Word
Blackfeather,One Word
Iced,One Word
Noah Barleywater Runs Away,None
A Thousand Sons,None
Heaven's Net Is Wide,None
Shift,One Word
The Oracle Glass,The Adj Noun
The Two Kings,The Adj Noun
Things Grak Hates,None
Vanished,One Word
The Triple Goddess,The Adj Noun
War Crimes,None
Space Wolf: The First Omnibus,None
A World Without You,None
Titus Alone,None
Empress of All Seasons,___ of ___
Nine Tomorrows,None
"Yu Yu Hakusho, Volume 1: Goodbye, Material World!",None
The Fever King,The Adj Noun
Phases of Gravity,___ of ___
The Nobodies,"""The"" One Word"
The Curse of the Mistwraith,___ of ___
Twilight & Into the Wild,___ and ___
The Story of the Amulet,___ of ___
Streams of Silver,___ of ___
The Fire's Stone,The Adj Noun
Hidden Empire,None
Warrior,One Word
Talyn,One Word
Beyond the Darkness,None
Goddess of Legend,___ of ___
The Rogue Hunter,The Adj Noun
Searching for Dragons,None
Agatha H and the Airship City,___ and ___
Naamah's Kiss,None
Powerless,One Word
Non-Stop,One Word
Hollowland,One Word
Eventide,One Word
Toxic,One Word
Taliesin,One Word
Anathema,One Word
Persephone,One Word
School of Fear,___ of ___
The Faerie War,The Adj Noun
Mind Games,None
Frostfire,One Word
Labyrinth,One Word
Crimes Against Magic,None
Learning to Kiss in the Snow,None
Maia,One Word
The Alchemist's Secret,The Adj Noun
The Way of the Sword,___ of ___
The Rose and the Beast: Fairy Tales Retold,___ and ___
Butterfly Summer,None
Sweet Ruin,None
"Seraph of the End, Vol. 1",___ of ___
Born of Defiance,___ of ___
The Shadow Queen,The Adj Noun
Unsouled,One Word
Everland,One Word
Ancillary Mercy,None
The Skull Throne,The Adj Noun
Grief is the Thing with Feathers,None
Vampire of the Mists,___ of ___
Beautiful You,None
What is Not Yours is Not Yours,None
Going Wild,None
Capt. Hook: The Adventures of a Notorious Youth,___ of ___
Escape from Memory,None
The Music of Dolphins,___ of ___
Haunted Sister,None
Uninvited,One Word
Feather,One Word
Witch,One Word
The Paradise War,The Adj Noun
Macunaíma,One Word
Dead and Alive,___ and ___
The Vesuvius Club,The Adj Noun
Silverlock,One Word
If I Ran the Circus,None
The Rainbow Goblins,The Adj Noun
Spartan,One Word
Keys to the Repository,None
"Fullmetal Alchemist, Vol. 4",None
The Last Vampire and Black Blood,___ and ___
InterWorld,One Word
The Promise,"""The"" One Word"
Eve of Chaos,___ of ___
The Butterfly Effect,The Adj Noun
The Breach,"""The"" One Word"
Everything Matters!,None
Caine's Law,None
Bite Me,None
Hidden Wings,None
Zombie Apocalypse!,None
Touch of the Demon,___ of ___
Bloodmark,One Word
Overseas,One Word
Season of the Witch,___ of ___
Divergent Series Box Set,None
The Forgotten Legion,The Adj Noun
Throne of Glass Collection,___ of ___
The Summer Palace,The Adj Noun
Calamity,One Word
The Queen of Blood,___ of ___
Willa of the Wood,___ of ___
Enchantée,One Word
Not Even Bones,None
The Collected Ghost Stories of E.F. Benson,___ of ___
Weathering With You,None
First and Only,___ and ___
Second Child,None
Vagabond,One Word
Jade Green,None
Cryptid Hunters,None
White Wolf,None
Kill the Dead,None
Pathfinder,One Word
The Restorer,"""The"" One Word"
The White Giraffe,The Adj Noun
Magic to the Bone,None
The Third Eye,The Adj Noun
"Neon Genesis Evangelion, Vol. 1",None
The First Law Trilogy,None
Rootless,One Word
The Wild Things,The Adj Noun
Comet in Moominland,None
The Nightlife: Las Vegas,None
Madly,One Word
The Shadows,"""The"" One Word"
The Devil's Son,The Adj Noun
Blood Slave,None
Finding Sky Trilogy,None
The Lost Boys,The Adj Noun
The Star Rover,The Adj Noun
A Pale Horse,None
Kinslayer,One Word
Perfect Lies,None
BioShock: Rapture,None
The Hedge Knight,The Adj Noun
The Living Blood,The Adj Noun
The Last World,The Adj Noun
Libellus de Numeros,None
Memory of Water,___ of ___
Acceptance,One Word
Authority,One Word
Dreamtigers,One Word
Sweep: Volume 2,None
The Canterville Ghost and Other Stories,___ and ___
King Hall,None
I Crawl Through It,None
The Captive Maiden,The Adj Noun
Glass Soup,None
Dread Nation,None
Girls of Paper and Fire,___ of ___
The Last Colony,The Adj Noun
The House in the Cerulean Sea,None
Conan of Cimmeria,___ of ___
Seven Gothic Tales,None
Companions of the Night,___ of ___
Golem in the Gears,None
Selections from Harry Potter and the Order of the Phoenix: Piano Solos,___ of ___
"The Dark Tower Series: The Gunslinger, the Drawing of the Three, the Waste Lands",___ of ___
Alcatraz Versus the Scrivener's Bones,None
Alcatraz Versus the Knights of Crystallia,___ of ___
Bonechiller,One Word
The Keeping Place,The Adj Noun
Myth-ing Persons,None
Infinity,One Word
Diplomatic Immunity,None
The Judging,"""The"" One Word"
Blackbird House,None
Checkmate,One Word
A Dragon's Awakening,None
Left Behind Series Gift Set,None
Dawnthief,One Word
Smokeless Fire,None
Dragon's Egg,None
The Postmortal,"""The"" One Word"
Far from You,None
Dagon and Other Macabre Tales,___ and ___
Eve of Destruction,___ of ___
Catwings,One Word
Everfound,One Word
Florence & Giles,___ and ___
Oblivion,One Word
The Binding,"""The"" One Word"
Death Troopers,None
"Blood Red, Snow White",None
Death & the Zombie Apocalypse,___ and ___
The Lost Girl,The Adj Noun
A Sudden Light,None
Greywalker,One Word
Legend: The Graphic Novel,None
Fire Country,None
Fortune's Magic Farm,None
Average Joe and the Extraordinaires,___ and ___
"The Obernewtyn Chronicles Omnibus, #1-6",None
Little Star,None
The Icarus Girl,The Adj Noun
The Enchanted Castle,The Adj Noun
The Kingdom of Copper,___ of ___
Abaddon's Gate,None
Wishtree,One Word
Sword of the Rightful King,___ of ___
Flashforward,One Word
Pish Posh,None
Mona Lisa Blossoming,None
Mona Lisa Darkening,None
Alta,One Word
The God Eaters,The Adj Noun
Theodosia and the Eyes of Horus,___ of ___
Here Be Monsters!,None
Dreamland,One Word
The Willoughbys,"""The"" One Word"
Raven,One Word
The Decoy Princess,The Adj Noun
Dark Kiss,None
The Lost Years of Merlin,___ of ___
True Blood Collection,None
"Locke & Key, Vol. 4: Keys to the Kingdom",___ and ___
"Locke & Key, Vol. 3: Crown of Shadows",___ of ___
"Locke & Key, Vol. 2: Head Games",___ and ___
Parallel,One Word
Time Out of Joint,___ of ___
The Archmage Unbound,The Adj Noun
River of Stars,___ of ___
Homestuck Book Three,None
The Girl,"""The"" One Word"
Fallen,One Word
"Here, There Be Dragons",None
Kraken,One Word
Cuckoo Song,None
The Far Reaching Tentacles of N'rygoth,___ of ___
Winterkill,One Word
Revelation,One Word
End of Watch,___ of ___
The Grey Woods,The Adj Noun
The Black Tides of Heaven,___ of ___
Daughter of the Pirate King,___ of ___
Starman Jones,None
The Loneliest Girl in the Universe,None
Swastika Night,None
The Binding,"""The"" One Word"
The Star Wars Trilogy,None
Heartsong,One Word
Babylon's Ashes,None
Blood Brothers,None
The Pagan Stone,The Adj Noun
The Conquering Sword of Conan,___ of ___
Blind Faith,None
Escape From the Forest,None
Alvin Journeyman,None
Handling the Undead,None
Galore,One Word
Grave Secret,None
Owlflight,One Word
13 to Life,None
Devoured by Darkness,None
Double Cross,None
Dinotopia: A Land Apart from Time,None
Sweep: Volume 3,None
Between,One Word
The Little Engine That Could,None
All Hallows' Eve,None
Witchling,One Word
"Truly, Madly",None
"Bone, Vol. 3: Eyes of the Storm",___ of ___
Koko,One Word
Permutation City,None
The Dragon God,The Adj Noun
Son of Perdition,___ of ___
Aurian,One Word
Clifford the Big Red Dog,None
Strange Angels and Betrayals,___ and ___
The Cloud Searchers,The Adj Noun
Aspho Fields,None
Queen of the World!,___ of ___
Underground,One Word
Seawitch,One Word
Rominus: The Initiation,None
Railsea,One Word
Courage,One Word
Dante Valentine: The Complete Series,None
When the Butterflies Came,None
Graduation Day,None
Sita: An Illustrated Retelling of the Ramayana,___ of ___
Life and Death are Wearing Me Out,___ and ___
As Red as Blood,None
Fire Sea,None
"Alice 19th, Vol. 3",None
Galaxy in Flames,None
Wrath,One Word
Ember Rising,None
Wolfsong,One Word
Furyborn,One Word
The Empire of Gold,___ of ___
Methuselah's Children,None
Wolfcry,One Word
Lord John and the Brotherhood of the Blade,___ of ___
Midnight Falcon,None
Intrinsical,One Word
Scent of Darkness,___ of ___
Darkness Revealed,None
The Cross of Lead,___ of ___
Born to Bite,None
The Four Fingers of Death,___ of ___
Dark Taste of Rapture,___ of ___
I Am Wolf,None
The Locket,"""The"" One Word"
"Dearly, Departed",None
The Wild Road,The Adj Noun
Museum of Thieves,___ of ___
Fallen,One Word
Foretold: 14 Tales of Prophecy and Prediction,___ of ___
The King of Elfland's Daughter,___ of ___
Don't You Wish,None
Witch Week,None
The Damnation Game,The Adj Noun
The Line of Illeniel,___ of ___
Batman: The Man Who Laughs,None
Captivate,One Word
Brothers to the Death,None
Prince of the Elves,___ of ___
Being Jamie Baker,None
Sacré Bleu: A Comedy d'Art,None
Epic,One Word
Strange and Ever After,___ and ___
Wildwood Imperium,None
Consequences: Opal & Origin,___ and ___
Firstlife,One Word
The Epilogue,"""The"" One Word"
The Empty Grave,The Adj Noun
The Rules of Magic,___ of ___
All the Crooked Saints,None
The Wicked Deep,The Adj Noun
The Fates Divide,The Adj Noun
The Wild Robot,The Adj Noun
The Grace Year,The Adj Noun
Teen Titans: Raven,None
The Dosadi Experiment,The Adj Noun
Wyvernhail,One Word
The Law of Nines,___ of ___
They Thirst,None
The Dragon Waiting,The Adj Noun
Brave Story,None
Mortal Coils,None
The Braided Path,The Adj Noun
The Little Giant of Aberdeen County,___ of ___
Safe Harbor,None
The Gods of Mars,___ of ___
"Dead, Undead, or Somewhere in Between",None
Chasing Brooklyn,None
The King's Blood,The Adj Noun
Igraine the Brave,None
...And the Stars Will Sing,None
Zazen,One Word
Reign of Blood,___ of ___
The Collector,"""The"" One Word"
Netherworld,One Word
Time and the Gods,___ and ___
Hades' Disciples,None
Lies Beneath,None
The First Judgement,The Adj Noun
The Fountains of Paradise,___ of ___
The Atlantis Gene,The Adj Noun
Sins & Shadows,___ and ___
"Preacher, Volume 1: Gone to Texas",None
Guardian,One Word
The Way of the Dragon,___ of ___
Paprika,One Word
Emily Windsnap and the Land of the Midnight Sun,___ of ___
Emily Windsnap and the Monster from the Deep,___ and ___
Stars,One Word
Urban Shaman,None
The Blood Mirror,The Adj Noun
The Bone Houses,The Adj Noun
Vardaesia,One Word
"Jeremy Thatcher, Dragon Hatcher",None
The Mind Parasites,The Adj Noun
Demon Thief,None
The Road of the Dead,___ of ___
Shadowrise,One Word
Martian Time-Slip,None
Marvels,One Word
The Restorer,"""The"" One Word"
Violet Eyes,None
You Have to Stop This,None
Black as Night,None
"I, Zombie",None
Starclimber,One Word
Eternal Eden,None
The Shadow Society,The Adj Noun
Eve & Adam,___ and ___
"Castle Waiting, Vol. 1",None
The Blacksmith's Son,The Adj Noun
The Books of Magic,___ of ___
Revan,One Word
The Grimm Legacy,The Adj Noun
The Stonekeeper,"""The"" One Word"
The Last Council,The Adj Noun
Redemption,One Word
The Invincible,"""The"" One Word"
Mockingbird,One Word
The Lantern Bearers,The Adj Noun
Snow White and Rose Red,___ and ___
The Complete Oz,The Adj Noun
Of Giants and Ice,___ and ___
Born of Fire,___ of ___
The Legend of the Wandering King,___ of ___
Avery,One Word
Mordacious,One Word
The Bazaar of Bad Dreams,___ of ___
The Demon Lover,The Adj Noun
The Memoirs of Helen of Troy,___ of ___
The Lady Or The Tiger And Other Stories,___ and ___
Foundling,One Word
The Courts of Chaos,___ of ___
Stake That,None
Time,One Word
Ravenheart,One Word
"Bleach, Volume 02",None
This Alien Shore,None
Mélusine,One Word
The Candlestone,"""The"" One Word"
A Witch's Beauty,None
The Edge Chronicles 6: Midnight Over Sanctaphrax: Third Book of Twig,___ of ___
Dust of Dreams,___ of ___
The Book of Fours,___ of ___
"Maximum Ride, Vol. 2",None
Death Watch,None
Shadowheart,One Word
Vessel,One Word
Menagerie,One Word
Glitch,One Word
The Mad Scientist's Daughter,None
Stray,One Word
The Earth Dwellers,The Adj Noun
"The Star Beast (Heinlein's Juveniles, #8)",None
The Ladies of Grace Adieu and Other Stories,___ of ___
"New Moon: The Graphic Novel, Vol. 2",None
Hyde,One Word
Terminal,One Word
The Love That Split the World,None
Dark Age,None
Frost Like Night,None
Wilder Girls,None
Corrag,One Word
The Notebooks of Lazarus Long,___ of ___
Midnight Mass,None
"Click, Clack, Moo: Cows That Type",None
Kitty Raises Hell,None
Night Mare,None
Shadowplay,One Word
Seven Daughters and Seven Sons,___ and ___
Stormrider,One Word
The Demon's Lexicon,The Adj Noun
The Drawing of the Dark,___ of ___
Lud-in-the-Mist,One Word
Shadows Return,None
The Winds of Winter,___ of ___
The Citadel of the Autarch,___ of ___
Through Violet Eyes,None
Camille,One Word
Charlie Bone and the Time Twister,___ and ___
The Manual of Detection,___ of ___
Shadow Wolf,None
"Bone, Vol. 2: The Great Cow Race",None
The Circle trilogy,The Adj Noun
"The Vampire Diaries, Volumes 1-4",None
Iron's Prophecy,None
Angel of Darkness,___ of ___
Dragon Keeper,None
Destiny Rising,None
Secrets of the Demon,___ of ___
Antigoddess,One Word
"The Arabian Nights: Tales of 1001 Nights, Volume 1 of 3",___ of ___
Bitter Sweet Love,None
Frost Burned,None
The Leveller,"""The"" One Word"
The Traitor's Kiss,The Adj Noun
Exhalation: Stories,None
Way Station,None
Crave,One Word
The Probability Broach,The Adj Noun
Camber of Culdi,___ of ___
A Clan in Need,None
Forbidden Nights with a Vampire,None
Robots and Empire,___ and ___
Skin,One Word
Fire Burn and Cauldron Bubble,___ and ___
"The Complete Stories, Vol 1",None
Vampire Instinct,None
Now You See Me,None
This Is All I Ask,None
Moonglow,One Word
A Stir of Echoes,___ of ___
Heroes of the Valley,___ of ___
Always and Forever,___ and ___
Winter Moon,None
The End Has Come and Gone,___ and ___
Alive In A Dead World,None
Usher's Passing,None
Torment of Shadows,___ of ___
The Vintner's Luck,The Adj Noun
Annihilation,One Word
The Hogwarts Library,The Adj Noun
Downpour,One Word
Possession,One Word
People of the Wolf,___ of ___
Ghosts & Echoes,___ and ___
Kiss,One Word
Covenant with the Vampire,None
The Wall and the Wing,___ and ___
The Dark Age,The Adj Noun
Time's Edge,None
Time's Divide,None
Beautiful Darkness,None
DragonKnight,One Word
Shadow Over Kiriath,None
The Heart of a Warrior,___ of ___
Half-Moon Investigations,None
Bellwether,One Word
"Bleach, Volume 03",None
At the Back of the North Wind,___ of ___
Market Forces,None
White Tiger,None
The Demon's Covenant,The Adj Noun
Dark Symphony,None
"Vampire Knight, Vol. 13",None
Enchanted Glass,None
The White Road,The Adj Noun
Dirty Blood,None
Heroes 'Til Curfew,None
The Android's Dream,The Adj Noun
Nightmare Academy,None
Avatar Volume 5: The Last Airbender,None
The Spell,"""The"" One Word"
Princess for Hire,None
Unholy Night,None
Asunder,One Word
Blackbringer,One Word
Kill Me Softly,None
Prince of Dogs,___ of ___
Black Heart,None
A Plague Upon Your Family,None
Till Death Do Us Part,None
The Hero's Lot,The Adj Noun
Sacrifice,One Word
Books of Blood: Volume One,___ of ___
The Time of the Fireflies,___ of ___
Forging Zero,None
Octavia's Brood: Science Fiction Stories from Social Justice Movements,None
Miss Peregrine's Home for Peculiar Children: The Graphic Novel,None
The Giant Under the Snow,None
"Green Grass, Running Water",None
Tales of the Cthulhu Mythos,___ of ___
A Lion Among Men,None
Morningstar,One Word
The Silver Hand,The Adj Noun
Diary of a Wimpy Vampire,___ of ___
Twice as Hot,None
The Arm of the Starfish,___ of ___
Wolf Island,None
X-Men: Days of Future Past,___ of ___
A Time of Exile,___ of ___
Deltora Quest,None
The Betrayal of Natalie Hargrove,___ of ___
Lying Season,None
Soul Screamers Volume One,None
The Reckoning,"""The"" One Word"
Incarnate,One Word
Shadows,One Word
Red Harvest,None
A Midsummer Night's Scream,None
The Daydreamer,"""The"" One Word"
Nearly Gone,None
Fifteen Dogs,None
The Water Knife,The Adj Noun
Oblivion,One Word
The Empty City,The Adj Noun
"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",___ and ___
The End of Oz,___ of ___
Reign of Shadows,___ of ___
The Call,"""The"" One Word"
Fireblood,One Word
"The Inquisitor's Tale: Or, the Three Magical Children and Their Holy Dog",___ and ___
One True King,None
The Spell Book of Listen Taylor,___ of ___
The Day I Swapped My Dad for Two Goldfish,None
Graveminder,One Word
Beloved Vampire,None
Laney,One Word
Mistress of the Empire,___ of ___
Airel: The Awakening,None
Fearscape,One Word
The Ghost of Crutchfield Hall,___ of ___
Tears of the Broken,___ of ___
The Wind on Fire Trilogy: The Wind Singer/Slaves of the Mastery/Firesong,___ of ___
Day by Day Armageddon,None
The Burning Stone,The Adj Noun
Red Glove,None
The Rozabal Line,The Adj Noun
Marked / Betrayed / Chosen / Untamed / Hunted,None
Black Powder War,None
Throne of Jade,___ of ___
Time and Time Again,___ and ___
Kingdom of the Golden Dragon,___ of ___
If I Should Die,None
The Witch Hunter,The Adj Noun
Order 66:,None
Map of Fates,___ of ___
Killer Frost,None
Harry Potter: A History of Magic,___ of ___
The Vine Witch,The Adj Noun
The Black Witch,The Adj Noun
Deryni Rising,None
Expanded Universe,None
Mercury's War,None
The Inheritors,"""The"" One Word"
The Haunted Mask,The Adj Noun
The Books of the South,___ of ___
A Mermaid's Ransom,None
The Garden of Eve,___ of ___
Vampire Destiny Trilogy,None
In the Night Kitchen,None
Black Swan Rising,None
Undead,One Word
The Legend of Drizzt: The Collected Stories,___ of ___
The Heart's Ashes,The Adj Noun
Heartsnatcher,One Word
Old Magic,None
Darkness Breaks,None
Babe: The Gallant Pig,None
Raphael,One Word
Tempted,One Word
The Lives of Tao,___ of ___
Morgawr,One Word
Dorothy Must Die: Stories,None
To Darkness Fled,None
Shrine,One Word
Warrior Witch,None
Ghost Talkers,None
Dawn Study,None
A Sound of Thunder,___ of ___
Wildfire,One Word
Ace of Shades,___ of ___
Opposite of Always,___ of ___
Dragon on a Pedestal,None
Peter Pan in Kensington Gardens / Peter and Wendy,___ and ___
The Beatrice Letters,The Adj Noun
The Blue Djinn of Babylon,___ of ___
Lost Souls,None
Krakatit,One Word
The Riftwar Saga,The Adj Noun
A Mermaid's Kiss,None
The Resistance,"""The"" One Word"
Legacy of Kings,___ of ___
Buffy the Vampire Slayer: The Long Way Home,None
Lord of the Dead,___ of ___
Black Fallen,None
The Forsaken,"""The"" One Word"
Dark Heart Forever,None
Crookedstar's Promise,None
Child of Flame,___ of ___
Druids,One Word
Saving Mars,None
The Familiars,"""The"" One Word"
Attrition: the First Act of Penance,___ of ___
Taking Back Forever,None
Gods & Monsters,___ and ___
Midnight Frost,None
Heart of Stone,___ of ___
The Secret of Ventriloquism,___ of ___
Breakthrough,One Word
The Poison Jungle,The Adj Noun
The Iron Flower,The Adj Noun
Black Wind,None
The Birthday of the World and Other Stories,___ of ___
Don't Let the Pigeon Drive the Bus!,None
The Changeling Sea,The Adj Noun
The Second Siege,The Adj Noun
Raptor,One Word
The Last Four Things,None
The Last Hunt,The Adj Noun
A Vampire's Claim,None
Blood Will Tell,None
Seven Tears Into the Sea,None
"Cardcaptor Sakura, Vol. 1",None
The Door to December,None
Titan,One Word
iBoy,One Word
Darkness Before Dawn,None
Deep Secret,None
