title,series,author,rating,pages,publishDate,numRatings,category
This Dark Endeavor,The Apprenticeship of Victor Frankenstein #1,Kenneth Oppel (Goodreads Author),3.83,298,2011-08-23,11114,None
The Mysterious Mr. Quin,Harley Quin #1,Agatha Christie,3.72,396,1905-06-25,11114,None
"Ashes, Ashes","Ashes, Ashes #1",Jo Treggiari,3.51,344,2011-06-01,11111,None
The Accident Season,N/A,Moïra Fowley-Doyle,3.57,282,2015-08-18,11111,The Adjective Noun
Saving Raphael Santiago,The Bane Chronicles #6,"Cassandra Clare (Goodreads Author), Sarah Rees Brennan (Goodreads Author)",4.18,40,2013-09-17,11109,None
Swords and Deviltry,Fafhrd and the Gray Mouser #1,Fritz Leiber,3.88,208,2006-12-01,11102,Blank and Blank
You Have to Stop This,Secret #5,Pseudonymous Bosch (Goodreads Author),4.33,352,2011-09-20,11086,None
Remember Me,Remember Me #1,Christopher Pike,4.05,272,2003-10-16,11082,None
Avempartha,The Riyria Revelations #2,Michael J. Sullivan (Goodreads Author),4.31,331,2009-04-01,11079,One Word
The Reapers are the Angels,Reapers #1,Alden Bell,3.89,225,2010-08-03,11076,None
"Alice 19th, Vol. 1",Alice 19th #1,Yuu Watase,3.90,181,2003-10-29,11071,None
The Time Quartet Box Set,Time Quintet #1-4,"Madeleine L'Engle, Peter Sís (Illustrator)",4.35,750,2001-09-11,11067,None
Fall of Night,The Morganville Vampires #14,Rachel Caine (Goodreads Author),4.23,352,2013-05-07,11067,Blank of Blank
Noah,Nightwalkers #5,Jacquelyn Frank (Goodreads Author),4.22,471,2008-09-01,11066,One Word
Aurora Burning,The Aurora Cycle #2,"Amie Kaufman (Goodreads Author), Jay Kristoff (Goodreads Author)",4.38,512,2020-05-05,11059,None
House of Secrets,House of Secrets #1,"Chris Columbus, Ned Vizzini, Greg Call (Illustrator)",3.81,490,2013-04-23,11058,Blank of Blank
The Rescue,Guardians of Ga'Hoole #3,Kathryn Lasky,4.07,198,2004-01-01,11055,The One Word
The Lord of the Rings: The Making of the Movie Trilogy,N/A,"Brian Sibley, Ian McKellen (Foreword)",4.52,192,2002-11-06,11051,Blank of Blank
"Here, There Be Dragons",The Chronicles of the Imaginarium Geographica #1,James A. Owen (Goodreads Author),3.86,326,2006-09-26,11045,None
The Maze Runner Files,The Maze Runner,James Dashner (Goodreads Author),3.72,50,2013-08-13,11044,None
Johnny Mnemonic,N/A,"William Gibson, Terry Bisson",3.77,160,1996-02-05,11042,None
Sorcerer to the Crown,Sorcerer Royal #1,Zen Cho (Goodreads Author),3.75,371,2015-09-01,11040,None
They Thirst,N/A,Robert R. McCammon,3.90,412,1991-06-01,11039,None
Blood Music,N/A,Greg Bear,3.82,344,2005-09-01,11022,None
العنكبوت,N/A,مصطفى محمود,3.85,98,Published,11021,One Word
All My Friends are Superheroes,N/A,Andrew Kaufman (Goodreads Author),3.82,120,2003-10-20,11012,None
Bitter Sweet Love,The Dark Elements #0.5,Jennifer L. Armentrout (Goodreads Author),4.08,105,2013-12-01,11012,None
The Merchant's Daughter,Hagenheim #2,Melanie Dickerson (Goodreads Author),4.00,284,2011-12-04,11010,The Adjective Noun
The Dead,The Enemy #2,Charlie Higson,4.30,485,2014-05-20,11008,The One Word
Magic Graves,Kate Daniels #0.5 - A Questionable Client,"Jeaniene Frost (Goodreads Author), Ilona Andrews (Goodreads Author)",4.15,162,2011-09-01,11008,None
The Call of Earth,Homecoming Saga #2,Orson Scott Card,3.59,352,1994-01-15,11007,Blank of Blank
Born of Silence,The League: Nemesis Rising #5,Sherrilyn Kenyon (Goodreads Author),4.48,614,2012-05-01,11006,Blank of Blank
Wolf Tower,Claidi Journals #1,Tanith Lee,3.72,223,2001-10-01,11006,None
Fashionably Dead,Hot Damned #1,Robyn Peterman (Goodreads Author),3.99,323,2013-09-02,11005,None
The Brief History of the Dead,N/A,Kevin Brockmeier,3.67,252,2007-01-09,11004,Blank of Blank
Tales from a Not-So-Happily Ever After!,Dork Diaries #8,Rachel Renée Russell (Goodreads Author),4.27,304,2015-06-01,10996,None
The Exile: An Outlander Graphic Novel,N/A,"Diana Gabaldon (Goodreads Author), Hoang Nguyen (Illustrator)",3.53,224,2010-09-21,10994,None
Summers at Castle Auburn,N/A,Sharon Shinn,4.03,342,2002-04-28,10992,None
Huntress,Ash #.5,Malinda Lo (Goodreads Author),3.79,371,2011-04-05,10992,One Word
She: A History of Adventure,Ayesha #1,H. Rider Haggard,3.58,317,1998-10-22,10991,Blank of Blank
Ignite,Defy #2,Sara B. Larson (Goodreads Author),3.94,304,2014-12-30,10988,One Word
Double Cross,Noughts and Crosses #4,Malorie Blackman (Goodreads Author),4.14,480,2009-11-06,10979,None
The Outlaws of Sherwood,N/A,Robin McKinley,3.77,368,2005-10-04,10979,Blank of Blank
So Yesterday,N/A,Scott Westerfeld (Goodreads Author),3.58,197,2005-09-01,10974,None
"Black Butler, Vol. 4",黒執事 [Kuroshitsuji] #4,"Yana Toboso, Tomo Kimura (Goodreads Author) (Translator)",4.43,192,2011-01-25,10974,None
The Course of True Love [and First Dates],The Bane Chronicles #10,Cassandra Clare (Goodreads Author),4.33,40,2014-03-18,10968,Blank of Blank
Thirteenth Child,Frontier Magic #1,Patricia C. Wrede (Goodreads Author),3.81,344,2009-04-15,10964,None
The Famished Road,The Famished Road Trilogy #1,Ben Okri,3.73,512,1993-06-01,10953,The Adjective Noun
False Gods,The Horus Heresy #2,Graham McNeill,4.09,416,2006-07-11,10953,None
Journey to Ixtlan,The Teachings of Don Juan #3,Carlos Castañeda,4.08,272,1991-02-01,10948,None
The Art of Amy Brown,N/A,"Amy Brown (Annotations), Charles de Lint (Goodreads Author) (Introduction)",4.05,160,2010-01-25,10944,Blank of Blank
Maximum Ride Forever,Maximum Ride #9,James Patterson (Goodreads Author),4.06,400,2015-05-18,10941,None
Time's Edge,The Chronos Files #2,Rysa Walker (Goodreads Author),4.07,452,2014-10-21,10938,None
Broken Throne,Red Queen #5,Victoria Aveyard (Goodreads Author),4.02,400,2019-05-07,10935,None
The Complete Fairy Tales,N/A,Oscar Wilde,4.33,144,2007-02-13,10933,None
"Attack on Titan, Vol. 12",進撃の巨人 / Attack on Titan #12,Hajime Isayama,4.54,192,2014-04-29,10925,None
The Shadow of Death,Thirst #4,Christopher Pike,4.24,496,2011-08-09,10921,Blank of Blank
Dead Is the New Black,Dead Is #1,Marlene Perez (Goodreads Author),3.97,190,2008-09-01,10913,None
Heroes Die,The Acts of Caine #1,Matthew Woodring Stover,4.09,545,1999-05-29,10911,None
Black City,Black City #1,Elizabeth Richards (Goodreads Author),3.75,374,2012-11-13,10911,None
Dragonflight / Dragonquest,Pern (Chronological Order,"Anne McCaffrey, Adrienne Barbeau (Read by), Michael Whelan (Illustrator)",4.47,6,2002-10-10,10906,None
The Ship Who Searched,Brainship #3,"Anne McCaffrey, Mercedes Lackey",4.09,312,1905-06-16,10903,None
On a Sunbeam,On a sunbeam #1-2,Tillie Walden,4.26,533,2018-10-02,10901,None
Sword & Citadel,The Book of the New Sun #3-4,Gene Wolfe,4.32,411,1994-10-15,10898,None
Peaches for Father Francis,Chocolat #3,Joanne Harris (Goodreads Author),3.99,453,2012-10-02,10898,None
Goddess of the Night,Daughters of the Moon #1,Lynne Ewing,3.81,304,2000-08-07,10894,Blank of Blank
The Natural Way of Things,N/A,Charlotte Wood,3.53,320,2015-10-01,10894,Blank of Blank
Blood Games,Chicagoland Vampires #10,Chloe Neill (Goodreads Author),4.23,350,2014-08-05,10893,None
The Wicked Day,Arthurian Saga #4,Mary Stewart,4.09,417,2003-05-01,10885,The Adjective Noun
Deus Machinae,Elder Races #5,"Thea Harrison (Goodreads Author), Laura Di Berardino (Translator)",4.24,267,2017-10-31,10883,None
The Day I Swapped My Dad for Two Goldfish,N/A,"Neil Gaiman (Goodreads Author), Dave McKean (Illustrator)",4.00,64,2004-08-31,10879,None
Halo: Ghosts of Onyx,Halo #4,Eric S. Nylund (Goodreads Author),4.17,383,2007-04-03,10877,Blank of Blank
Foundation,Valdemar: Collegium Chronicles #1,Mercedes Lackey,4.02,340,2008-10-07,10876,One Word
Slathbog's Gold,Adventurers Wanted #1,M.L. Forman (Goodreads Author),4.18,406,2009-02-01,10875,None
Teen Titans: Raven,Teen Titans #1,"Kami Garcia (Goodreads Author), Gabriel Picolo (Illustrator)",3.98,192,2019-07-02,10873,None
Blackveil,Green Rider #4,Kristen Britain,4.18,672,2011-02-01,10871,One Word
Time Out of Joint,N/A,Philip K. Dick,3.85,255,2002-05-14,10864,Blank of Blank
"Fullmetal Alchemist, Vol. 6",Fullmetal Alchemist #6,"Hiromu Arakawa, Akira Watanabe (Translator)",4.58,192,2006-03-21,10864,None
The Stolen Child,N/A,Keith Donohue (Goodreads Author),3.72,327,2006-05-09,10863,The Adjective Noun
Joust,Dragon Jousters #1,Mercedes Lackey,4.02,448,2004-03-02,10858,One Word
The Hero's Guide to Saving Your Kingdom,The League of Princes #1,"Christopher Healy (Goodreads Author), Todd Harris (Illustrations)",4.06,436,2012-05-01,10857,None
Sanctum,Guards of the Shadowlands #1,Sarah Fine (Goodreads Author),3.98,417,2012-10-16,10857,One Word
Bellwether,N/A,Connie Willis,3.92,248,1997-06-02,10844,One Word
The Revolution of Ivy,The Book of Ivy #2,Amy Engel (Goodreads Author),3.92,290,2015-11-03,10838,Blank of Blank
Wolfsbane and Mistletoe,Sookie Stackhouse #8.5 - Gift Wrap,"Charlaine Harris (Goodreads Author) (Editor), Toni L.P. Kelner (Editor), Donna Andrews (Goodreads Author) (Contributor), Simon R. Green (Contributor), Dana Cameron (Goodreads Author) (Contributor), Kat Richardson (Goodreads Author) (Contributor), Alan Gordon (Contributor), Carrie Vaughn (Goodreads Author) (Contributor), more…",3.74,340,2008-10-07,10835,Blank and Blank
Destiny: Child of the Sky,Symphony of Ages #3,Elizabeth Haydon,4.13,864,2002-05-19,10832,Blank of Blank
The Little Giant of Aberdeen County,N/A,Tiffany Baker (Goodreads Author),3.64,341,2009-01-08,10822,Blank of Blank
Half-Moon Investigations,N/A,Eoin Colfer,3.77,290,2006-04-01,10813,None
The Faerie Path,Faerie Path #1,Allan Frewin Jones,3.60,312,2007-02-01,10806,The Adjective Noun
The Ground Beneath Her Feet,N/A,Salman Rushdie,3.79,576,2000-03-16,10801,None
ArchEnemy,The Looking Glass Wars #3,Frank Beddor (Goodreads Author),3.89,370,2009-10-15,10794,One Word
"Hellboy, Vol. 4: The Right Hand of Doom",Hellboy #4,Mike Mignola,4.33,144,2004-05-04,10779,Blank of Blank
Breaking Point,Article 5 #2,Kristen Simmons (Goodreads Author),3.99,400,2013-02-12,10771,None
Dark Matter,N/A,Michelle Paver,3.96,246,2010-10-21,10762,None
Widow's Web,Elemental Assassin #7,Jennifer Estep (Goodreads Author),4.17,408,2012-08-21,10762,None
Lost,Magic Thief #2,"Sarah Prineas (Goodreads Author), Antonio Javier Caparo (Goodreads Author) (Illustrator)",4.09,400,2009-05-12,10761,One Word
Demigods & Magicians: Percy and Annabeth Meet the Kanes,Percy Jackson & Kane Chronicles Crossover #1-3,"Rick Riordan (Goodreads Author), Antonio Caparo (Illustrator)",4.34,224,2016-04-05,10760,Blank and Blank
Emblaze,The Violet Eden Chapters #3,Jessica Shirvington (Goodreads Author),4.39,415,2011-10-11,10759,One Word
The Complete Fiction,N/A,"H.P. Lovecraft, S.T. Joshi (Editor)",4.36,1098,2011-03-18,10755,The Adjective Noun
Flashpoint,Flashpoint #1-5,"Geoff Johns (Writer), Andy Kubert (Penciler), Sandra Hope (Inker), Jesse Delperdang (Inker), Alex Sinclair (Colourist), Nick J. Napolitano (Letterer)",4.20,176,2012-03-13,10751,One Word
The Gripping Hand,Moties #2,"Larry Niven, Jerry Pournelle",3.82,413,1994-01-01,10748,The Adjective Noun
Mystic City,Mystic City #1,Theo Lawrence,3.75,397,2012-10-09,10732,None
Martian Time-Slip,N/A,Philip K. Dick,3.77,262,1995-05-30,10731,None
Escaping Peril,Wings of Fire #8,Tui T. Sutherland,4.60,336,2015-12-29,10730,None
Unforgiven,Fallen #5,Lauren Kate (Goodreads Author),3.92,400,2015-11-10,10729,One Word
Croak,Croak #1,Gina Damico (Goodreads Author),3.92,311,2012-03-20,10727,One Word
The Source,Witching Savannah #2,J.D. Horn (Goodreads Author),3.95,352,2014-06-03,10724,The One Word
High Wizardry,Young Wizards #3,"Diane Duane (Goodreads Author), Christina Moore (Narrator)",4.05,372,2003-10-01,10719,None
Zombie Fallout,Zombie Fallout #1,Mark Tufo (Goodreads Author),4.04,404,2010-02-25,10714,None
Sky on Fire,Monument 14 #2,Emmy Laybourne (Goodreads Author),4.06,215,2013-05-28,10714,None
Darken the Stars,Kricket #3,Amy A. Bartol (Goodreads Author),4.11,282,2015-09-08,10708,None
"Attack on Titan: No Regrets, Vol. 1",進撃の巨人 悔いなき選択 / Attack on Titan: No Regrets #1,"Hajime Isayama (Original Author), Hikaru Suruga, Gan Sunaaku",4.52,192,2014-06-24,10697,None
After the End,After the End #1,Amy Plum (Goodreads Author),3.65,352,2014-05-06,10693,None
The Perilous Sea,The Elemental Trilogy #2,Sherry Thomas (Goodreads Author),4.14,414,2014-09-16,10685,The Adjective Noun
Masques,Sianim #1,Patricia Briggs,3.89,199,1993-12-01,10684,One Word
The Postmortal,N/A,Drew Magary (Goodreads Author),3.79,369,2011-08-30,10682,The One Word
Sanctuary,1-800-Where-R-You #4,"Jenny Carroll, Meg Cabot (Goodreads Author)",4.10,231,2007-01-09,10680,One Word
The Traveler,Fourth Realm #1,John Twelve Hawks,3.83,464,2006-07-18,10679,The One Word
Shalador's Lady,The Black Jewels #8,Anne Bishop,4.35,476,2010-03-02,10679,None
Ophelia,N/A,Lisa M. Klein,3.72,328,2006-10-31,10675,One Word
Dawn's Awakening,Breeds #11,Lora Leigh,4.28,281,2008-02-01,10665,None
فرانكشتاين في بغداد,N/A,"Ahmed Saadawi, أحمد سعداوي",3.54,352,2013-01-01,10660,None
To Sail Beyond the Sunset,The World As Myth #4,Robert A. Heinlein,3.87,434,1988-06-01,10660,None
The Shepherd's Tale,Serenity #3,"Joss Whedon, Zack Whedon, Chris Samnee (Goodreads Author), Dave Stewart (Artist), Steve Morris (Artist)",4.09,56,2010-11-24,10660,The Adjective Noun
The Vampire and the Virgin,Love at Stake #8,Kerrelyn Sparks (Goodreads Author),4.21,345,2010-03-09,10660,Blank and Blank
Blood Magic,The Blood Journals #1,Tessa Gratton (Goodreads Author),3.66,405,2011-05-24,10657,None
To Kill a Warlock,Dulcie O'Neil #1,H.P. Mallory (Goodreads Author),3.89,282,2010-07-03,10650,None
Song of Kali,N/A,Dan Simmons,3.61,320,2005-03-10,10647,Blank of Blank
Spellbound,Wicca #6,Cate Tiernan,4.19,192,2001-09-10,10642,One Word
Juliet Immortal,Juliet Immortal #1,Stacey Jay (Goodreads Author),3.53,306,2011-09-13,10641,None
Night Whispers,Warriors: Omen of the Stars #3,Erin Hunter,4.38,352,2010-11-23,10634,None
Dragon Keeper,Dragon Keeper #1,Carole Wilkinson,3.99,333,2007-04-01,10633,None
Glennkill,Sheep Detective Story #1,Leonie Swann,3.63,382,2007-05-02,10629,One Word
Sandworms of Dune,Dune #8,"Brian Herbert, Kevin J. Anderson (Goodreads Author)",3.65,494,2007-08-07,10626,Blank of Blank
The Paladin Prophecy,The Paladin Prophecy #1,Mark Frost (Goodreads Author),4.03,560,2012-09-25,10619,The Adjective Noun
Midwinterblood,N/A,Marcus Sedgwick (Goodreads Author),3.70,264,2011-10-06,10618,One Word
The Claw of the Conciliator,The Book of the New Sun #2,Gene Wolfe,3.98,303,1982-02-01,10616,Blank of Blank
Raphael,Vampires in America #1,D.B. Reynolds (Goodreads Author),3.95,248,2009-04-15,10609,One Word
The V Girl: A Coming Of Age Story,N/A,Mya Robarts,4.02,340,2015-06-20,10608,Blank of Blank
The God Project,N/A,John Saul,3.92,384,1983-05-01,10595,The Adjective Noun
"Fables, Vol. 15: Rose Red",Fables (Collected Editions) #15,"Bill Willingham (Goodreads Author) (Writer), Mark Buckingham (Illustrator), Steve Leialoha (Illustrator), Inaki Miranda (Illustrator), Andrew Pepoy (Illustrator), Dan Green (Illustrator)",4.23,256,2011-04-12,10594,None
Sunset of the Sabertooth,Magic Tree House #7,"Mary Pope Osborne, Salvatore Murdocca (Illustrator)",3.89,80,1996-04-14,10587,Blank of Blank
The Gospel of Loki,Loki #1,Joanne M. Harris,3.72,302,2014-02-20,10586,Blank of Blank
Zodiac,Zodiac #1,Romina Russell (Goodreads Author),3.73,325,2014-12-09,10586,One Word
Fury's Kiss,Dorina Basarab #3,Karen Chance (Goodreads Author),4.27,536,2012-10-02,10586,None
Mass Effect: Revelation,Mass Effect Novels #1,Drew Karpyshyn (Goodreads Author),3.70,323,2007-05-01,10585,None
The Outstretched Shadow,Obsidian Mountain #1,"Mercedes Lackey, James Mallory",4.01,608,2007-04-01,10581,The Adjective Noun
Soul Eater,Chronicles of Ancient Darkness #3,Michelle Paver,4.28,276,1905-06-29,10578,None
Time Between Us,Time Between Us #1,Tamara Ireland Stone (Goodreads Author),3.90,368,2012-10-09,10575,None
The Princess Test,The Princess Tales #2,"Gail Carson Levine (Goodreads Author), Mark Elliott (Illustrator)",3.77,91,1999-03-21,10574,The Adjective Noun
The Book of Sand and Shakespeare's Memory,N/A,"Jorge Luis Borges, Norman Thomas di Giovanni (translator)",4.14,159,2001-04-05,10573,Blank of Blank
The Bridge,N/A,Iain Banks,3.85,288,2001-07-05,10567,The One Word
The Nixie's Song,Beyond the Spiderwick Chronicles #1,"Tony DiTerlizzi (Goodreads Author) (Author & Illustrator), Holly Black (Goodreads Author)",3.74,162,2007-09-18,10566,The Adjective Noun
Reckoning,Night Huntress Universe #0.5,Jeaniene Frost (Goodreads Author),3.92,100,2011-11-29,10563,One Word
The Chronicles of Amber,The Chronicles of Amber #1-5,Roger Zelazny,4.37,772,1905-06-25,10558,Blank of Blank
Off Armageddon Reef,Safehold #1,David Weber,4.13,605,2007-01-09,10558,Blank of Blank
Black Orchid,Black Orchid #Prestige,"Neil Gaiman (Goodreads Author), Dave McKean (Illustrator)",3.72,176,2012-05-01,10553,None
Fateful,N/A,Claudia Gray (Goodreads Author),3.89,328,2012-03-29,10538,One Word
The Hunt for Dark Infinity,The 13th Reality #2,James Dashner (Goodreads Author),3.97,446,2009-03-01,10537,None
The Call,Grey Land #1,Peadar Ó Guilín (Goodreads Author),3.86,312,2016-08-30,10535,The One Word
Tríada,Memorias de Idhún #2,Laura Gallego García,4.12,766,1905-06-28,10532,One Word
Hunt for Jade Dragon,Michael Vey #4,Richard Paul Evans,4.37,320,2014-09-16,10526,None
Wicked: Witch & Curse,Wicked #1-2,"Nancy Holder (Goodreads Author), Debbie Viguié (Goodreads Author)",3.62,672,2008-09-09,10525,None
Soulsmith,Cradle #2,Will Wight (Goodreads Author),4.42,286,2016-09-26,10521,One Word
March Upcountry,Empire of Man #1,"John Ringo, David Weber",4.19,472,2013-12-09,10517,None
The Unconsoled,N/A,Kazuo Ishiguro,3.55,535,1905-06-17,10516,The One Word
Creature,N/A,John Saul,3.84,416,1997-01-01,10507,One Word
Ghost Town at Sundown,Magic Tree House #10,"Mary Pope Osborne, Salvatore Murdocca (Illustrator)",3.91,96,2010-06-15,10499,None
The Scribe,Irin Chronicles #1,Elizabeth Hunter (Goodreads Author),4.16,306,2013-10-15,10497,The One Word
Resurrection,Wicked #5,"Nancy Holder (Goodreads Author), Debbie Viguié (Goodreads Author)",3.96,402,2009-07-07,10496,One Word
Slouch Witch,The Lazy Girl's Guide to Magic #1,Helen Harper (Goodreads Author),4.06,342,2017-06-08,10493,None
Hard to Be a God,The Noon Universe #4,"Arkady Strugatsky, Boris Strugatsky",4.19,219,1973-01-01,10487,None
The Books of the South,The Chronicles of the Black Company #3.5-5,Glen Cook,4.26,671,2008-06-10,10486,Blank of Blank
Slaves of the Mastery,The Wind on Fire Trilogy #2,William Nicholson,4.04,340,2001-04-22,10478,Blank of Blank
The Sea of Monsters: The Graphic Novel,Percy Jackson and the Olympians: The Graphic Novels #2,"Robert Venditti (Goodreads Author) (adaptor), Rick Riordan (Goodreads Author), Attila Futaki, Tamas Gaspar",4.25,128,2013-07-02,10473,Blank of Blank
Shattered,Slated #3,Teri Terry (Goodreads Author),4.23,402,2014-03-06,10469,One Word
Blaze,Dark in You #2,Suzanne Wright (Goodreads Author),4.30,368,2016-09-01,10469,One Word
Fallen,Guardian Trilogy #1,Laury Falter (Goodreads Author),3.84,272,2009-04-01,10468,One Word
Handling the Undead,N/A,John Ajvide Lindqvist,3.48,384,1905-07-01,10466,None
"Red River, Vol. 1",Red River #1,Chie Shinohara,4.23,188,2004-05-26,10463,None
"Batman and Robin, Volume 1: Born to Kill",Batman and Robin (2011) #1,"Peter J. Tomasi (Writer), Patrick Gleason (Penciler), Mick Gray (Inker), Guy Major (Inker), John Kalisz (Colourist), Pat Brosseau (Letterer)",4.17,192,2012-07-10,10462,Blank and Blank
"Lazarus, Vol. 1: Family",Lazarus #1-4,"Greg Rucka, Michael Lark (Artist), Santiago Arcas (Illustrator)",3.94,106,2013-10-09,10460,None
Reverence,Significance Series #3.5,Shelly Crane (Goodreads Author),4.26,27,Published,10458,One Word
Cryer's Cross,N/A,Lisa McMann (Goodreads Author),3.73,233,2011-02-08,10448,None
Neferet's Curse,House of Night Novellas #3,"P.C. Cast (Goodreads Author) (co-author), Kristin Cast (Goodreads Author) (co-author)",4.04,147,2013-02-19,10447,None
Darkness,New Species #12,Laurann Dohner,4.28,271,2014-09-23,10436,One Word
The Overcoat and Other Short Stories,N/A,Nikolai Gogol,4.21,103,1992-02-21,10429,Blank and Blank
The First Chronicles of Druss the Legend,The Drenai Saga #6,David Gemmell,4.34,334,1999-10-05,10422,Blank of Blank
Kiss of Heat,Breeds #4,Lora Leigh,4.11,236,2005-11-01,10422,Blank of Blank
Cascade,River of Time #2,Lisa Tawn Bergren (Goodreads Author),4.25,399,2011-06-01,10418,One Word
Tales of the Otherworld,Otherworld Stories #2,Kelley Armstrong (Goodreads Author),4.24,387,2010-04-13,10418,Blank of Blank
Ghost in the Shell,Ghost in the Shell #1,Masamune Shirow,4.18,350,2006-06-20,10417,None
Through a Glass Darkly,Through a Glass Darkly #2,Karleen Koen (Goodreads Author),3.96,674,2003-05-01,10412,None
The Dwarves,Die Zwerge #1,Markus Heitz,3.95,736,2009-08-06,10406,The One Word
Song of the Wanderer,The Unicorn Chronicles #2,Bruce Coville,4.11,336,2001-11-01,10399,Blank of Blank
Murder on the Mind,Jeff Resnick Mystery #1,L.L. Bartlett (Goodreads Author),3.80,251,2007-01-01,10394,None
The Cry of the Icemark,The Icemark Chronicles #1,Stuart Hill,4.11,496,2009-04-01,10393,Blank of Blank
Grass,Arbai #1,Sheri S. Tepper,4.05,544,2002-02-02,10392,One Word
Ashen Winter,Ashfall #2,Mike Mullin (Goodreads Author),4.07,576,2012-10-16,10387,None
Bedknob and Broomstick,Bedknobs and Broomsticks #1-2,Mary Norton,4.03,188,1905-06-05,10385,Blank and Blank
Green Angel,Green Angel #1,Alice Hoffman (Goodreads Author),3.91,128,2004-05-01,10374,None
The Ruins of Gorlan / The Burning Bridge / The Icebound Land,Ranger's Apprentice #1-3,John Flanagan,4.49,848,2008-09-11,10369,Blank of Blank
I Do (But I Don't),Crandell Sisters #1,Cara Lockwood (Goodreads Author),3.69,352,2004-08-31,10365,None
Oathblood,Valdemar: Vows and Honor #3,Mercedes Lackey,4.06,394,1998-04-01,10361,One Word
حكايات فرغلي المستكاوي,N/A,حسن الجندي,3.56,127,1905-07-05,10356,None
صانع الظلام,صانع الظلام #1,تامر إبراهيم,3.80,336,2012-11-25,10355,None
The Lady is a Vamp,Argeneau #17,Lynsay Sands (Goodreads Author),4.23,364,2012-07-31,10354,None
Nights at the Circus,N/A,Angela Carter,3.91,295,1986-03-04,10349,None
Primal Bonds,Shifters Unbound #2,Jennifer Ashley (Goodreads Author),4.06,298,2011-03-01,10344,None
Fairy Tales Every Child Should Know,N/A,Hamilton Wright Mabie,3.87,292,2012-05-16,10340,None
Sarah,Women of Genesis #1,Orson Scott Card,3.88,341,2001-09-17,10339,One Word
Blood Beast,The Demonata #5,Darren Shan (Goodreads Author),4.13,261,2007-06-04,10335,None
Once in a Full Moon,Full Moon #1,Ellen Schreiber,3.79,292,2010-12-28,10334,None
The Hallowed Hunt,World of the Five Gods (Publication) #3,Lois McMaster Bujold (Goodreads Author),3.85,423,2006-05-30,10334,The Adjective Noun
Fire & Flood,Fire & Flood #1,"Victoria Scott (Goodreads Author), Michaela Link (Translator)",4.05,320,2015-01-27,10333,None
The Seer and the Sword,Healer and Seer #1,Victoria Hanley,4.12,352,2003-04-08,10327,Blank and Blank
Allegiance of Honor,Psy-Changeling #15,Nalini Singh (Goodreads Author),4.27,478,2016-06-14,10325,Blank of Blank
Hidden Currents,Drake Sisters #7,Christine Feehan (Goodreads Author),4.33,441,2009-06-30,10316,None
"Dearly, Departed",Gone With the Respiration #1,Lia Habel (Goodreads Author),3.83,470,2011-10-18,10312,None
In Time,The Darkest Minds #1.5,Alexandra Bracken (Goodreads Author),4.23,89,2013-07-16,10306,None
Harmony's Way,Breeds #7,Lora Leigh,4.14,312,2006-12-05,10306,None
Fate and Fury,The Grey Wolves #6,Quinn Loftis (Goodreads Author),4.49,292,2013-03-15,10303,Blank and Blank
Ace of Shades,The Shadow Game #1,Amanda Foody (Goodreads Author),3.89,411,2018-04-10,10303,Blank of Blank
Explorers on the Moon,Tintin #17,"Hergé, Leslie Lonsdale-Cooper (Translator), Michael Turner (Translator)",4.20,62,2002-11-04,10293,None
The Last Stand of the New York Institute,The Bane Chronicles #9,"Cassandra Clare (Goodreads Author), Sarah Rees Brennan (Goodreads Author), Maureen Johnson (Goodreads Author), Jamie Bamber (Narrator)",4.24,40,2013-12-17,10292,Blank of Blank
Vampire Mine,Love at Stake #10,Kerrelyn Sparks (Goodreads Author),4.24,369,2011-03-29,10288,None
Death Note: Another Note - The Los Angeles BB Murder Cases,Death Note #Novel 1,"NisiOisiN, Andrew Cunningham (Translator)",4.31,176,2008-02-19,10287,None
Old Magic,N/A,Marianne Curley (Goodreads Author),3.93,317,2002-02-26,10276,None
One Good Knight,Five Hundred Kingdoms #2,Mercedes Lackey,3.85,393,2006-11-21,10274,None
"Mio, My Son",N/A,"Astrid Lindgren, Ilon Wikland (Illustrator), Jill M. Morgan (Translator)",4.12,178,2003-12-31,10273,None
Haven,Winterhaven #1,Kristi Cook (Goodreads Author),3.83,401,2011-02-22,10269,One Word
The Silver Gryphon,Valdemar: Mage Wars #3,"Mercedes Lackey, Larry Dixon",3.83,400,1997-03-01,10268,The Adjective Noun
